reaction,biomass_type
transcription_TU00168_from_RpoD_mono,mRNA
transcription_TU0_8699_from_RpoD_mono,mRNA
transcription_TU0_4906_from_RpoD_mono,mRNA
transcription_TU0_14509_with_TERM0_1033_from_RpoD_mono,mRNA
transcription_TU0_8477_from_RpoD_mono,mRNA
transcription_TU0_13014_from_RpoD_mono,mRNA
transcription_TU00436_with_TERM72_from_RpoD_mono,mRNA
transcription_TU0_13172_from_RpoD_mono,mRNA
transcription_TU00302_from_RpoD_mono,mRNA
transcription_TU00030_with_TERM0621_from_RpoD_mono,mRNA
transcription_TU00185_from_RpoD_mono,mRNA
transcription_TU0_8765_from_RpoD_mono,mRNA
transcription_TU0_13714_from_RpoD_mono,mRNA
transcription_TU00098_from_RpoD_mono,mRNA
transcription_TU0_13488_with_TERM0_1097_from_RpoD_mono,mRNA
transcription_TU00377_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_1603_from_RpoD_mono,mRNA
transcription_TU0_4907_from_RpoD_mono,mRNA
transcription_TU369_with_TERM102_from_RpoD_mono,mRNA
transcription_TU369_with_TERM102_from_RPOS_MONOMER,mRNA
transcription_TU0_14328_from_RpoD_mono,mRNA
transcription_TU00169_from_RpoD_mono,mRNA
transcription_TU0_5186_from_RpoD_mono,mRNA
transcription_TU0_12831_from_RpoD_mono,mRNA
transcription_TU0_6569_with_TERM0_1108_from_RpoD_mono,mRNA
transcription_TU0_13777_from_RpoD_mono,mRNA
transcription_TU0_13173_from_RpoD_mono,mRNA
transcription_TU0_8478_from_RPOS_MONOMER,mRNA
transcription_TU0_3623_from_RPON_MONOMER,mRNA
transcription_TU0_13474_from_RpoD_mono,mRNA
transcription_TU0_1681_from_RpoD_mono,mRNA
transcription_TU00437_with_TERM72_from_RpoD_mono,mRNA
transcription_TU00031_from_RpoD_mono,mRNA
transcription_TU0_5201_from_RpoD_mono,mRNA
transcription_TU0_13715_from_RpoD_mono,mRNA
transcription_TU4_from_RpoD_mono,mRNA
transcription_TU0_14269_from_RpoD_mono,mRNA
transcription_TU00378_with_TERM65_from_RpoD_mono,mRNA
transcription_TU00170_with_TERM0_1033_from_RpoD_mono,mRNA
transcription_TU0_14699_with_TERM141_from_RpoD_mono,mRNA
transcription_TU0_4927_from_RpoD_mono,mRNA
transcription_TU0_6581_from_RpoD_mono,mRNA
transcription_TU794_from_RpoD_mono,mRNA
transcription_TU0_1106_from_RpoD_mono,mRNA
transcription_TU0_14491_from_RPOH_MONOMER,mRNA
